,-3000,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,total
thepenfeather.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,26,59,0,148
omhseagleseye.com,0,0,0,0,0,0,0,0,0,0,0,0,0,50,93,93,88,34,17,25,10,0,410
thecavalier.jcchs.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chelseabuzz.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,195,140,251,294,187,0,1137
daphneoracle.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fhsthestorm.com,0,0,0,0,0,0,0,0,0,0,0,0,47,101,117,221,98,7,0,78,74,0,743
crimsoncriernews.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,127,138,158,18,48,132,764
bjhspatriotpages.com,0,0,0,0,0,0,0,0,0,0,0,0,0,177,427,250,289,218,280,327,240,0,2208
jcjetstream.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,11,0,32
murphyhitimes.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
mhsspotlight.com,0,0,0,0,0,0,0,0,0,0,0,0,0,92,31,7,3,24,19,11,0,0,187
roarshs.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,129,118,0,277
eaglescry.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,56,82,82,46,84,26,0,404
igaramkin.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,68,74,87,55,94,56,0,438
shstoday.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,68,84,54,0,240
lajoyalink.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,104,118,94,132,8,3,460
vipertimes.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,67,47,3,0,153
cactusshadowscspress.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,48,49,26,0,142
hamiltonpawprint.com,0,0,0,0,0,0,0,0,0,0,0,0,0,49,188,289,246,189,183,116,76,0,1336
acpknighttimes.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,191,117,16,391
phsprecedent.com,0,0,0,0,0,0,0,0,0,0,0,0,1,38,294,293,361,404,257,239,114,93,2094
highlandsun.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,38,24,0,83
skyhawkflight.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,53,120,1,179
mrhsridgereview.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,48,1,165
ipatriotpost.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
rskpawpress.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12,0,42
jhsnews.jonesboroschools.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,10,3,0,26
yourknightlife.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,98,0,157
thetalonohs.com,0,0,0,0,0,0,0,0,0,0,0,0,0,31,83,129,164,83,90,132,76,1,789
thehorizonsun.com,0,0,0,0,0,0,0,0,0,0,1,3,5,24,304,313,247,131,174,211,59,0,1472
dawgpoundnews.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,112,96,114,71,30,1,474
whsrampage.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,7
thetrojanwall.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16
news.xcp.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,228,308,240,115,1,946
chargervoice.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,46,0,119
combscourier.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,36,26,26,0,95
ndpnews.org,0,0,0,0,0,0,0,0,0,0,2,102,56,22,72,117,146,119,74,33,0,0,743
thebuenapegasus.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,56,0,135
chasingthestorm.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,125,23,14,206
cdssunrise.com,0,0,0,0,0,0,0,0,0,0,25,65,111,139,200,169,165,175,75,10,2,0,1136
mhscharger.com,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,118,214,181,91,60,27,0,692
thetollesonbeacon.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,20,1,32
shsthepapercut.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,295,505,502,316,3,1653
almapawprint.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21,8,0,58
bhstigernews.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,44,30,8,0,101
prospectiveonline.com,0,0,0,0,0,0,0,0,0,0,0,0,0,212,205,136,120,213,163,93,45,5,1192
panthertale.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,25,0,71
cfhspublications.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,15
bwhswestword.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,20,0,72
jacketjournal.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,244,291,65,0,725
wampuscatstudentnews.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,64,0,149
ehshigusher.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,29,13,0,76
hsnews.farmcards.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,2,0,0,26
fhsregister.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,157,173,35,4,430
southworldonline.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3
lhsvoice.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,0,0,37
thepvconstitution.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
tigernewspaper.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,108,109,62,0,342
pantherperspective.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,151,172,70,24,0,499
mhsvoice.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,25,6,0,95
