,0,1,2,3,4,5,6,7,8,9
0,gun,”,guns,people,said,police,violence,students,control,shooting
1,gun,guns,people,control,shootings,”,shooting,laws,mass,school
2,gun,guns,people,”,control,said,weapons,laws,school,right
3,gun,people,violence,guns,”,firearms,mass,amendment,law,control
4,gun,”,said,guns,people,school,control,students,right,laws
5,said,”,gun,people,police,students,school,guns,violence,man
6,gun,”,said,school,students,violence,people,shooting,high,student
7,gun,”,said,people,guns,control,law,carry,laws,year
8,gun,school,shooting,”,students,said,people,violence,guns,march
9,”,gun,students,said,guns,campus,people,school,police,shooting
